City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,talnakh,69.4865,88.3972,10.0,67,2,4.74,RU,1723139313
161,mangrol,21.1167,70.1167,27.5,87,100,8.36,IN,1723139314
162,suva,-18.1416,178.4415,18.71,100,75,2.06,FJ,1723139315
163,strugi-krasnyye,58.2675,29.1114,17.49,67,97,1.17,RU,1723139316
164,morehead city,34.7229,-76.726,27.0,89,100,10.28,US,1723139317
165,chonchi,-42.6128,-73.8092,9.3,74,100,0.84,CL,1723139238
166,stanley,54.868,-1.6985,16.77,92,75,3.09,GB,1723139321
167,idfu,24.9803,32.8747,38.96,15,26,3.79,EG,1723139319
168,fale old settlement,-9.3852,-171.2468,28.33,76,91,8.32,TK,1723139323
169,bikenibeu village,1.3673,173.1241,27.98,74,75,1.54,KI,1723139324
170,narrabri,-30.3167,149.7833,11.54,74,100,1.72,AU,1723139325
171,mokhsogollokh,61.4681,128.9203,10.08,79,67,0.6,RU,1723139327
172,coquimbo,-29.9533,-71.3436,14.85,72,0,4.63,CL,1723139237
173,luderitz,-26.6481,15.1594,13.89,72,0,4.65,NA,1723139330
174,maisi,43.0395,41.2621,17.0,88,6,2.45,GE,1723139331
175,cooper's town,26.8667,-77.5167,29.12,77,25,6.37,BS,1723139333
176,stonehouse,51.75,-2.2833,20.28,92,75,6.17,GB,1723139334
177,sallisaw,35.4604,-94.7875,32.98,40,0,4.63,US,1723139335
178,port augusta,-32.5,137.7667,10.15,88,60,3.52,AU,1723139337
179,kulhudhuffushi,6.6221,73.07,28.32,72,100,3.9,MV,1723139338
180,bereznik,62.8551,42.7072,14.2,77,10,1.19,RU,1723139340
181,olonkinbyen,70.9221,-8.7187,5.34,99,100,3.08,SJ,1723139341
182,mount pearl,47.5166,-52.7813,23.19,52,75,6.69,CA,1723139342
183,mahdia,35.5047,11.0622,27.94,61,0,3.25,TN,1723139343
184,mukalla,14.5425,49.1242,31.49,58,61,2.72,YE,1723139344
185,north syracuse,43.1348,-76.1299,21.66,93,100,2.68,US,1723139345
186,severo-yeniseyskiy,60.3725,93.0408,12.05,92,96,0.12,RU,1723139346
187,vilyuchinsk,52.9306,158.4028,14.69,88,100,0.83,RU,1723139347
188,tonghae,37.5439,129.1069,23.49,88,89,2.44,KR,1723139348
189,el calafate,-50.3408,-72.2768,4.26,91,81,0.59,AR,1723139349
190,udachny,66.4167,112.4,10.82,87,99,3.05,RU,1723139350
191,tacna,-18.0056,-70.2483,13.11,72,75,2.57,PE,1723139353
192,ornskoldsvik,63.2909,18.7153,19.53,82,100,5.14,SE,1723139354
193,bonthe,7.5264,-12.505,25.34,77,100,3.4,SL,1723139355
194,afif,23.9065,42.9172,31.5,13,46,1.94,SA,1723139356
195,matinha,-3.1006,-45.0336,37.16,27,62,1.94,BR,1723139357
196,dakhla,23.6848,-15.958,25.01,69,16,12.86,EH,1723139358
197,gamba,-2.65,10.0,22.31,86,68,3.09,GA,1723139359
198,grand falls-windsor,48.9332,-55.6649,18.11,56,74,4.66,CA,1723139360
199,cova figueira,14.8905,-24.2934,20.26,80,33,3.22,CV,1723139361
200,rongelap,11.1635,166.8941,28.25,75,89,7.02,MH,1723139362
201,porto seguro,-16.4497,-39.0647,26.29,65,20,4.63,BR,1723139314
202,ekibastuz,51.6667,75.3667,20.69,69,84,2.19,KZ,1723139365
203,puerto baquerizo moreno,-0.9,-89.6,20.55,94,75,4.12,EC,1723139366
204,lospalos,-8.5186,127.0025,19.13,94,8,2.16,TL,1723139367
205,pisco,-13.7,-76.2167,18.03,72,100,5.14,PE,1723139368
206,pedernales,18.0384,-71.744,30.08,66,100,3.24,DO,1723139369
207,newman,37.3138,-121.0208,35.93,12,0,1.21,US,1723139370
208,enewetak,11.3474,162.3373,28.48,79,13,6.43,MH,1723139371
209,dunda,-8.1167,34.25,19.25,39,95,2.13,TZ,1723139373
210,les anglais,18.3054,-74.2197,29.18,72,96,4.27,HT,1723139377
211,queenstown,-31.8976,26.8753,14.18,14,0,4.31,ZA,1723139378
212,kruisfontein,-34.0033,24.7314,11.52,92,4,2.14,ZA,1723139379
213,kavieng,-2.5744,150.7967,27.14,79,32,2.52,PG,1723139380
214,santa isabel,-23.3156,-46.2214,31.05,23,4,4.41,BR,1723139381
215,thunder bay,48.4001,-89.3168,20.95,56,40,6.17,CA,1723139223
216,st. john's,47.5649,-52.7093,23.66,49,75,6.69,CA,1723139369
217,mangai,-4.05,19.5333,28.57,25,51,0.85,CD,1723139386
218,lensk,60.7253,114.9278,17.27,71,8,1.23,RU,1723139387
219,zhangzhou,24.5133,117.6556,25.69,91,99,0.97,CN,1723139388
220,utrik,11.2278,169.8474,28.04,80,50,8.53,MH,1723139389
221,bamboo flat,11.7,92.7167,27.05,94,40,1.03,IN,1723139390
222,weno,7.4515,151.8468,26.97,89,75,1.54,FM,1723139391
223,karystos,38.0133,24.4161,27.16,47,0,3.07,GR,1723139392
224,portland,45.5234,-122.6762,27.19,60,81,1.79,US,1723139223
225,port lincoln,-34.7333,135.8667,11.48,80,99,2.24,AU,1723139395
226,puerto ayora,-0.7393,-90.3518,20.31,92,94,4.02,EC,1723139396
227,cabo san lucas,22.8909,-109.9124,32.17,51,0,6.69,MX,1723139145
228,sengkang,-4.1279,120.0297,23.44,91,33,2.72,ID,1723139399
229,kristiansund,63.1115,7.732,16.36,82,40,2.57,NO,1723139401
230,santa marta de ortigueira,43.6833,-7.85,22.36,85,27,0.45,ES,1723139403
231,richards bay,-28.783,32.0377,23.46,54,0,5.45,ZA,1723139404
232,cabugao,17.7931,120.4578,25.93,90,89,4.38,PH,1723139407
233,jiangyou,31.7667,104.7167,25.51,90,89,1.72,CN,1723139409
234,cutral-co,-38.9469,-69.2089,11.06,10,0,0.89,AR,1723139410
235,jinka,5.65,36.65,20.52,69,68,1.06,ET,1723139412
236,zhezqazghan,47.7833,67.7667,29.39,26,60,3.54,KZ,1723139413
237,alta,69.9689,23.2717,22.59,43,0,4.12,NO,1723139414
238,rosarito,32.3333,-117.0333,21.75,72,3,2.76,MX,1723139415
239,worthington,40.0931,-83.018,29.98,73,75,3.09,US,1723139173
240,luena,-11.7833,19.9167,18.89,18,55,2.03,AO,1723139419
241,ngorongoro,-3.2397,35.4875,12.72,71,100,2.24,TZ,1723139421
242,canchungo,12.0672,-16.0333,27.2,80,94,4.26,GW,1723139422
243,nuuk,64.1835,-51.7216,5.34,93,75,3.09,GL,1723139226
244,kirakira,-10.4544,161.9205,25.09,89,100,4.25,SB,1723139425
245,koungou,-12.7336,45.2042,23.84,78,0,2.06,YT,1723139426
246,prado,-17.3411,-39.2208,24.72,59,0,4.0,BR,1723139428
247,sitka,57.0531,-135.33,16.94,77,20,1.54,US,1723139429
248,villanueva,15.3167,-88.0,32.55,55,40,3.6,HN,1723139430
249,boende,-0.2167,20.8667,26.86,65,83,1.69,CD,1723139431
250,misratah,32.3754,15.0925,28.54,70,0,5.74,LY,1723139432
251,mianyang,31.4593,104.7542,24.83,93,100,2.87,CN,1723139433
252,anadyr,64.75,177.4833,6.28,86,75,1.0,RU,1723139434
253,sakakah,29.9697,40.2064,34.86,14,0,5.18,SA,1723139436
254,selfoss,63.9331,-20.9971,11.32,77,86,3.0,IS,1723139437
255,imphal,24.8167,93.95,21.55,97,100,0.9,IN,1723139438
256,tumpat,6.1978,102.171,26.99,94,20,1.03,MY,1723139439
257,kapuskasing,49.4169,-82.4331,17.05,88,100,4.12,CA,1723139402
258,asmara,15.3333,38.9333,17.05,81,54,2.65,ER,1723139441
259,kerikeri,-35.2268,173.9474,4.95,93,11,1.73,NZ,1723139443
260,pocone,-16.2567,-56.6228,36.19,22,1,2.41,BR,1723139444
261,sherbakul',54.6316,72.3963,14.35,75,100,3.79,RU,1723139446
262,susuman,62.7833,148.1667,8.75,87,98,0.95,RU,1723139447
263,moroto,2.5345,34.6666,21.72,68,50,1.34,UG,1723139448
264,togur,58.3631,82.8265,15.51,77,74,2.48,RU,1723139449
265,kourou,5.1552,-52.6478,30.58,64,46,4.23,GF,1723139280
266,manokwari,-0.8667,134.0833,25.68,77,62,2.21,ID,1723139452
267,sayat,38.7839,63.8803,34.15,12,0,4.51,TM,1723139453
268,port alfred,-33.5906,26.891,16.77,94,0,0.45,ZA,1723139454
269,apia,-13.8333,-171.7667,25.62,77,99,10.94,WS,1723139455
270,howard springs,-12.497,131.047,19.43,69,12,2.75,AU,1723139456
271,vernon,50.2581,-119.2691,26.63,28,1,0.51,CA,1723139187
272,konakovo,56.7,36.7667,15.72,91,93,1.97,RU,1723139458
273,tabou,4.423,-7.3528,24.24,77,99,3.61,CI,1723139459
274,gobabis,-22.45,18.9667,19.81,19,0,6.53,NA,1723139462
275,impfondo,1.6381,18.0667,27.72,51,73,0.75,CG,1723139464
276,berezovyy,51.6667,135.7,16.0,98,100,1.34,RU,1723139465
277,bandon,51.7469,-8.7425,17.14,94,100,7.16,IE,1723139466
278,ulaangom,49.9811,92.0667,19.59,58,61,2.67,MN,1723139467
279,alofi,-19.0595,-169.9187,19.94,73,75,3.09,NU,1723139468
280,port-vila,-17.7338,168.3219,17.78,100,75,3.09,VU,1723139469
281,manda,-10.4667,34.5833,22.53,56,21,2.68,TZ,1723139470
282,fortuna,40.5982,-124.1573,14.51,100,75,3.6,US,1723139472
283,karratha,-20.7377,116.8463,20.97,52,47,3.76,AU,1723139473
284,hotan,37.0997,79.9269,28.07,25,2,3.49,CN,1723139474
285,makarov,48.6333,142.8,18.07,99,99,1.47,RU,1723139475
286,moose jaw,50.4001,-105.5344,17.15,44,40,3.6,CA,1723139476
287,kingston,17.997,-76.7936,31.76,79,20,8.23,JM,1723139211
288,keren,15.7778,38.4581,24.0,68,28,1.61,ER,1723139478
289,hobyo,5.3505,48.5268,24.77,78,74,11.63,SO,1723139480
290,cedral,23.8,-100.7333,26.36,41,5,1.84,MX,1723139481
291,yoloten,37.2989,62.3597,33.2,13,0,4.6,TM,1723139483
292,rio cuarto,-33.1307,-64.3499,9.14,36,92,9.02,AR,1723139228
293,oban,56.4127,-5.4706,12.96,96,100,2.17,GB,1723139485
294,tsiombe,-25.3,45.4833,20.67,81,0,2.66,MG,1723139486
295,lakatoro,-16.0999,167.4164,22.96,78,80,5.49,VU,1723139487
296,high river,50.5834,-113.8687,18.48,47,22,5.17,CA,1723139488
297,rabigh,22.7986,39.0349,32.36,67,18,1.71,SA,1723139489
298,maun,-19.9833,23.4167,22.98,27,0,1.03,BW,1723139490
299,arkhangel'sk,64.5401,40.5433,17.06,63,20,2.0,RU,1723139394
300,bhum,18.4667,75.6667,24.0,82,100,5.49,IN,1723139492
301,wanning,18.8003,110.3967,26.9,87,16,4.12,CN,1723139494
302,ostersund,63.1792,14.6357,15.25,96,0,3.6,SE,1723139495
303,santa catalina,9.3337,122.8637,25.83,87,100,2.05,PH,1723139496
304,sinabang,2.4803,96.3801,25.81,85,100,0.47,ID,1723139497
305,yazman,29.1212,71.7446,35.39,47,8,7.03,PK,1723139498
306,soygaon,20.6,75.6167,25.0,86,100,2.4,IN,1723139499
307,nema,57.5067,50.5011,14.61,94,100,3.58,RU,1723139500
308,swakopmund,-22.6833,14.5333,13.32,75,10,0.89,NA,1723139501
309,ikwiriri,-7.9562,38.9716,20.96,86,22,2.04,TZ,1723139502
310,bakanas,44.8081,76.2772,30.37,22,13,2.82,KZ,1723139504
311,neiafu,-18.65,-173.9833,22.38,73,20,3.6,TO,1723139505
312,isafjordur,66.0755,-23.124,8.02,87,100,7.2,IS,1723139455
313,berbera,10.4396,45.0143,32.44,55,12,1.8,SO,1723139507
314,qulsary,46.9531,54.0198,25.14,59,68,3.94,KZ,1723139509
315,zhytomyr,50.2649,28.6767,21.58,51,98,0.35,UA,1723139410
316,polyarnyy,69.1989,33.4478,17.33,54,99,4.81,RU,1723139511
317,victoria,22.2855,114.1577,30.21,84,22,7.6,HK,1723139414
318,emerald,-23.5333,148.1667,16.61,72,100,4.15,AU,1723139514
319,tarko-sale,64.9225,77.785,12.94,56,100,6.16,RU,1723139515
320,palmer,42.1584,-72.3287,23.41,54,100,2.57,US,1723139516
321,pasighat,28.0667,95.3333,24.7,99,90,0.73,IN,1723139517
322,mossel bay,-34.1831,22.146,14.29,76,2,3.09,ZA,1723139518
323,chibougamau,49.9168,-74.3659,18.79,68,40,3.09,CA,1723139519
324,tromso,69.6496,18.957,21.01,56,0,3.6,NO,1723139520
325,eyl,7.9803,49.8164,25.54,72,81,10.75,SO,1723139521
326,haiku-pauwela,20.9219,-156.3051,25.14,75,20,5.66,US,1723139523
327,kutum,14.2,24.6667,22.21,76,100,7.36,SD,1723139525
328,medicine hat,50.0501,-110.6683,20.17,43,40,3.6,CA,1723139448
329,baikonur,45.6167,63.3167,36.04,16,100,2.85,KZ,1723139527
330,los osos,35.3111,-120.8324,24.99,65,0,0.0,US,1723139325
331,crikvenica,45.1772,14.6928,31.11,45,0,1.54,HR,1723139529
332,kapa'a,22.0752,-159.319,25.61,83,40,4.12,US,1723139530
333,banfora,10.6333,-4.7667,26.46,85,100,0.73,BF,1723139531
334,arraial do cabo,-22.9661,-42.0278,33.98,45,0,3.6,BR,1723139532
335,pindushi,62.9152,34.58,15.97,65,14,2.45,RU,1723139533
336,kalinovskaya,43.5758,45.5192,26.85,34,11,1.27,RU,1723139534
337,jinshi,29.6049,111.8701,28.94,60,47,3.38,CN,1723139262
338,lazaro cardenas,17.9583,-102.2,32.31,59,76,1.61,MX,1723139537
339,margate,51.3813,1.3862,18.16,81,87,1.34,GB,1723139538
340,lubango,-14.9172,13.4925,22.92,21,2,2.06,AO,1723139539
341,escanaba,45.7453,-87.0646,20.98,78,100,1.54,US,1723139419
342,tanout,14.9709,8.8879,28.6,58,68,5.94,NE,1723139542
343,aljezur,37.3191,-8.8033,20.11,75,8,6.27,PT,1723139544
344,egilsstadir,65.2653,-14.3948,8.95,87,100,4.12,IS,1723139546
345,gilgit,35.9221,74.3087,28.83,45,0,2.26,PK,1723139547
346,la ronge,55.1001,-105.2842,20.14,34,75,4.12,CA,1723139548
347,mazar-e sharif,36.709,67.1109,34.71,10,0,3.37,AF,1723139549
348,baile herculane,44.8797,22.4125,23.61,51,29,0.95,RO,1723139550
349,zemio,5.0314,25.1361,21.38,86,36,0.93,CF,1723139551
350,uruacu,-14.5247,-49.1408,33.66,17,26,0.34,BR,1723139552
351,ta`u,-14.2336,-169.5144,24.98,77,100,11.33,AS,1723139553
352,chinde,26.8212,87.7095,23.93,90,89,1.18,NP,1723139555
353,qingdao,36.0986,120.3719,25.78,100,0,2.0,CN,1723139557
354,tegueste,28.5167,-16.3167,22.67,78,20,10.29,ES,1723139558
355,labytnangi,66.6572,66.4183,9.81,77,74,3.8,RU,1723139560
356,berezovo,63.9381,65.0419,10.47,75,5,2.71,RU,1723139561
357,punta arenas,-53.15,-70.9167,7.06,76,40,5.66,CL,1723139511
358,hadibu,12.65,54.0333,25.48,81,22,6.86,YE,1723139563
359,brookings,44.3114,-96.7984,18.99,52,20,9.26,US,1723139563
360,pico truncado,-46.7949,-67.9573,7.65,51,96,11.12,AR,1723139565
361,colonia,50.9333,6.95,24.13,57,0,3.09,DE,1723139300
362,kambove,-10.8764,26.5969,18.99,25,32,2.11,CD,1723139568
363,buala,-8.145,159.5921,25.33,90,100,2.16,SB,1723139569
364,alexandria,31.2156,29.9553,28.38,69,0,3.95,EG,1723139570
365,pemangkat,1.1667,108.9667,25.35,82,100,2.47,ID,1723139571
